id,text,BJP,Congress,Others
49,vote Congress n everyone live together peacefully?,0,1,0
50,Bjp will win?,1,0,0
51, Narendra Modi will emerge as the strong winner?,1,0,0
52,Only modi ?????,1,0,0
53,congress?,0,1,0
54,rahul?,0,1,0
55,Congress?,0,1,0
56,Only bjp will win that's my remarks?,1,0,0
57,Congress will be win more than 20?,0,1,0
58,Modi ji win?,1,0,0
59,MODI 300+ EASILY?,1,0,0
60,Vot Bjp?,1,0,0
61,Modi will ruin BJP in 2019 general election?,0,1,1
62,"Congress will win 2019, bjp bahut hi jhoot banane vali party hai. Bjp haregi?",0,1,0
63,it’s clear congress is gonna win?,0,1,0
64,Next PM rahul gandhi?,0,1,0
65,Congress win..... BJP get lost?,0,1,0
66,bjp easily win?,1,0,0
67,Modiji never lost election where he headed / ing govt since he made CM of Guj. Modiji will win its only Modiji?,1,0,0
68,BJP WIN GET MORE?,1,0,0
69,Vote Only Congress ???,0,1,0
70,Abki Bar Rahul sarkar?,0,1,0
71,Come back congress and save India?,0,1,0
72, BJP will NOT be able to get more than 100 Seats.,0,1,1
73,Very true... BJP will fail...he is rite .. ,0,1,1
74,Nda will win?,1,0,0
75,Fake...bjp will easily gt 250...majority is a question...dont put ur christian agenda here?,1,0,0
76,"No BJP ,No Congress,Others(Regional Parties)dominate?",0,0,1
77,Congress will win at least 20 seats in Madhya Pradesh.?,0,1,0
78,India win if congress win?,0,1,0
79,I hope modi wins... if pappu wins it will bring catastrophe upon the nation's economy and system...?,1,0,0
80,"People who want Rahul Gandhi as PM , should be careful because if he becomes PM for India definitely he will bring disaster for the country like Nehru Government did.?",1,0,1
81,"Modi throwed the country in to the dark, it's 100% correct, think once,but media says wrong?",0,1,1
82,Mood of the nation is Modi ???,1,0,0
83,"BJP is the party of today and tomorrow, Congress on steep decline.?",1,0,0
84,I like MODI too..,1,0,0
85,support MR. PM MODI    MODI IS BRAVE  EMINENT PM  ,1,0,0
86,MODI ji Nation with you. Please go ahead and take remarkable decisions to build our nation as a VishwaGuru.,1,0,0
87,Modi should win. Stop listening to the pseudo seculars. Modi is a necessity!?,1,0,0
88,BJP downfall started now. ,0,1,1
89,BJP will loose big in Karnataka now. ,0,1,1
90,"The kind of policies and reforms which modi brought in, he will win very easily. People are intelligent enough to understand what modi all these years. He is sure winner.?",1,0,0
91,NAMO  is grrrreat .. ,1,0,0
92,NaMo is far better than his discredited rivals; his sincerity is unquestionable.?,1,0,0
93,India wants Modi as PM again. Vote for Modi. ??. Bharat Mata Ki Jai. Modi Modi Modi Modi.?,1,0,0
94,BJP is failure government..?,0,1,1
95,popular honourable Modi will become next prime minister of india,1,0,0
96,Only BJP BJP?,1,0,0
97,Full respect Modiji.?,1,0,0
98,Modi will win because no prime minister of Congress had ever been so active as modi and in India the most corrupted are congress.,1,0,0
99,We won't vote for BJP not even a single constituency.,0,1,1
100,"Modi shouldn't win in 2019, not trust worthy?",0,1,1
101,MODI WILL WIN 2019?,1,0,0
102,Sashi Tharoor for PM?,0,1,0
103,Bjp won election 2019?,1,0,0
104,Modi is the only one who can develop India.,1,0,0
105,BJP zindabad?,1,0,0
106,"Modi did Nothing, it's all about fake news and zumlas.?",0,1,1
107,Jai Bjp..?,1,0,0
108,"Modi failed us all, i think he does not know how to rule the country?",0,1,1
109,Only namo?,1,0,0
110,"I Salute to Modiji and BJP government to their hard work for India, at the same time I request to people of India give some time and we'll see the good results.",1,0,0
111,Modi has a serious feeling of losing in 2019.,0,1,1
112,Modi desh chalane main fail?,0,1,1
113,namo namo?,1,0,0
114,just only win the modi he is doing a lot for our nation ,1,0,0
115,We r very lucky to have such a PM? Modi,1,0,0
116,modi is best?,1,0,0
117, God Bless My Beloved Nation And God Save My Beloved Nation From BJP?,0,1,1
118,PM Modi is a super hero of India and it is better if he becomes PM again.?,1,0,0
119,NO CHANCE MODI NEXT TIME IN INDIA.,0,1,1
120,Modi will be back...?,1,0,0
121,Modi never win 35 MP seats in 2019?,0,1,1
122,Modi won't win 2019 election?,0,1,1
123,Modi really?????? most stupid pm in the world by google.. no1 india?,0,1,1
124,All over the world r praising modi.,1,0,0
125,"No doubt, people chanting modi... modi....one and only modi.?",1,0,0
126,modiji is victory in next parliament election..331 seats..?,1,0,0
127,Modi victory on the way!?,1,0,0
128,"BJP alone will cross 300 mark; Congress will wiped out, that is certain.?",1,0,0
129,Greatest and dearest modiji should win more 499+ seats in lokshabha election in 2019.?,1,0,0
130,Only just Bjp party?,1,0,0
131,"Jai BJP, NDA 350+, Next PM Modi?",1,0,0
132,Sri Modiji can only save India.?,1,0,0
133,BJP dividing Indians by religion politics?,0,1,1
134,I am never going to vote for congress .,1,0,1
135,2019 only BJP with NaMo ???,1,0,0
136,Hopefully modi and his goons will be wiped off in May?,0,1,1
137,Of course modiji?,1,0,0
138,Rahul only?,0,1,0
139, Rahul will never be India's PM. ,1,0,1
140,bjp paid channel...?,0,1,1
141,Master blaster Modi definitely makes final outcome in favour of BJP 275 + alliance 35 n independents 5 total 315. Long live great Bharat.?,1,0,0
142,"10 more years for MODI, our children will have better future.?",1,0,0
143,Congress will get less than  20 LS seats?,1,0,1
144,Modi ji wil win pm for more den 25 years?,1,0,0
145,All people's vote modi?,1,0,0
146,"Modiji jindabad, he will win?",1,0,0
147,MODI will win comfortably.?,1,0,0
148,"Modi is hardworking, honest and world ranked 3 greatest leader. ",1,0,0
149,Modi is god father of you all.,1,0,0
150,Priyanka Gandhi ko PM banao?,0,1,0
151,Rahul Rahul Rahul?,0,1,0
152,2019 Congress year?,0,1,0
153,If modi comes again all indian citizens future is gone?,0,1,1
154,Modi’s win is India’s win,1,0,0
155,who r those pathetic idiots who still vote for congress??,1,0,1
156,"India with Modi, i am with the selfless worker Modi Ji... #namoagain2019?",1,0,0
157, Bjp will get majority in Rajya Sabha in 2020 to Pass these Reforms so vote & support Bjp.?,1,0,0
158,Modi is a very experienced and senior politician with more than a decade as CM of Gujarat and full five years as PM.,1,0,0
159,Never seen a more capable leader like Modi Ji in current times.?,1,0,0
160,... N many... I very much satiesfied PM...proud of my PM... I will vote for BJP?,1,0,0
161,Only Modi Only Development ???????,1,0,0
162,Modi is a great leader tough on himself and organized?,1,0,0
163,My vote to Modi to save India.?,1,0,0
164,"No words for modi , he is true leader India got today long live iron man?",1,0,0
165,fuck you modi will lose?,0,1,1
166,Modiji works for india tirelessly.?,1,0,0
167,Undoubtedly Modiji will win?,1,0,0
168,Our modi ji sir wil win 2019 election?,1,0,0
169,MODI 2019.....He is the best. I am a son of farmer........Congress don't make farmer fool.?,1,0,0
170,#NAMO_AGAIN?,1,0,0
171,Congress of 2019 .. corruption with country?,1,0,1
172,The Congress will win surely..?,0,1,0
173,NDA will return with the bang.?,1,0,0
174,Modi again love from tamilnadu ???,1,0,0
175,Only naredra modiji have vision for future India and no other politians like congress and others?,1,0,0
176,We vote to BJP leader's. ,1,0,0
177,Come back modi 2019?,1,0,0
178,Modi the Best PM. He will be Again as PM..?,1,0,0
179,Congress only?,0,1,0
180,Only Modi will win?,1,0,0
181,Namo again.....?,1,0,0
182,MODI IS BEST......EVER?,1,0,0
183,Ab ki baar Rahul Sarkaar?,0,1,0
184,Modiji..again...now India is in a good track under NDAs leadership?,1,0,0
185,"Modi, Once More!!!?",1,0,0
186,Modi is great leader but congress is the best for India?,0,1,0
187,Only modi ji next PM . ???? ??? 370 ??? ??,1,0,0
188,Only Modi is best?,1,0,0
189,Modi next PM?,1,0,0
190,Modi tsunami comming?,1,0,0
191,Modi the bloody murderer....?,0,1,1
192,"If at all Modi doesn't win, this country is not a better place for me to live.",1,0,0
193,Modi ji you are the best . 2019 elections won by modi !!,1,0,0
194,Modi will not win again ..?,0,1,1
195,Modi is a popular leader ,1,0,0
196,Congress will win 347 seats.bjp win 76 seats only. All are wait and see.?,0,1,0
197,Modiiiiiiiiiii onlyyyyyyy?,1,0,0
198,Modi is the good leader and best ruler?,1,0,0
199,Times now bjp?,1,0,0
200,Modi again?,1,0,0
201,Please vote Modi... Modi is India's greatest prime minister... Love from the UK?,1,0,0
202,Modi is the most failed pm!!!?,0,1,1
203,Next Indian pradhan mandri rahul Gandhi. Modiji bye bye.?,0,1,1
204,Ironically I love modi because so far because he is able to hold Mandir from RSS and keeping our beloved country secular and wise while keeping the progress rolling.?,1,0,0
205,Modi ji only save india?,1,0,0
206,Jai narendra modi next Prime Minister narendra modi Jai Hind Namo brigade.?,1,0,0
207,Rahul is great?,0,1,0
208,LS me PM srf my best choice PM Narendra Modi?,1,0,0
209,"MODI  IS  THE  BEST  -  PM  IN  THIS  WORLD ....... BUT,  WE  INDIANS  PROVED , WE ARE  FOOLS",1,0,0
210,Congress ?????,0,1,0
211,Next pm Rahul Gandhi sir?,0,1,0
212,World Top PM Narandra Modi,1,0,0
213,BJP will lose more than 90+ seats in next election.?,0,1,1
214,Modiji will loose 2019 election if he ban PUBG?,0,1,1
215,The one and only Namo should win more than 399 seats in lokshabha election 2019.Modiji should be the eternal prime minister of India.?,1,0,0
216,My support only for BJP... NEXT PM MODI JI?,1,0,0
217,BJP forever !!?,1,0,0
218,Congress ko 250 seat Akela milega?,0,1,0
219,Modi will be continued PM in next election.....?,1,0,0
220,Exit poll shows congress in 2019?,0,1,0
221,Next pm Rahul Gandhi?,0,1,0
222,May be next PM Rahul ji?,0,1,0
223,2019 BJP 350+?,1,0,0
224,NO MORE MODI FAKU....ONLY CONGRESS 2019,0,1,0
225,UPA win next election?,0,1,0
226,Vote bjp save nation bcz anti nation power unite against modi?,1,0,0
227,Rahul is best future PM?,0,1,0
228,Hopping to see BJP 2019?,1,0,0
229,Modi shoul not come back?,0,1,1
230,Modi is good pm India?,1,0,0
231,"Congratulations, Only for BJP?",1,0,0
232,Mera vote modi ko?,1,0,0
233,Modi again is better for us?,1,0,0
234,BJP hi jitega 2019 me?,1,0,0
235,ConGreSs win 2019???,0,1,1
236,Modi will come in power once again. Vande mataram?,1,0,0
237,Congress will win 2019 win clear majority. Your calculations will not help.?,0,1,0
238,MODIIJI  and BJP  Forever    Forever Forever?,1,0,0
239,It's clearly shows ur paid from bjp ur news is in full favore of bjp?,0,1,1
240,"if india has to rise in economy to 3rd in world, modi is only the choice as pm?",1,0,0
241,Modi only modi?,1,0,0
242,This time bjp starting is finish?,0,1,1
243,My vote goes for modi pure moholle ke saath,1,0,0
244,Congress is a terrorist party,1,0,1
245,No vote for paapu....only Narendra Modi ji?,1,0,0
246,next time UPA is going to form government?,0,1,0
247,Rahul ji next pm?,0,1,0
248,2024 is also pm modi?,1,0,0
249,"If  Modi does not be PM in 19 ,then India's luck is bad?",1,0,0
250,2019 mein Modi ji phir se PM honge.?,1,0,0
251,Abki bar modi sarkar 2019?,1,0,0
252,2019 me modi?,1,0,0
253,2019 no modi?,0,1,1
254,Modi sir best pm?,1,0,0
255,Worst pm ever in Indian History Modi?,1,0,0
256,NDA WILL NOT CROSS MORE THAN 206 SEATS?,0,1,1
257,Coming in 2019 Modi ji?,1,0,0
258,He is brainwashing us congress will win?,0,1,0
259,Rahul should not even be on a stage how the hell can he contest ????????,1,0,1
260,"If Congress will come to power, it will be a national security threat.. So we much give one more chance to BJP. So, vote for BJP?",1,0,0
261,Why should I vote for BJP?,0,1,1
262,Modji again n again?,1,0,0
263,Alliance or no alliance all the CHOR parties will be demolished in 2019 by mighty MODI SARKAR ..?,1,0,0
264,Strong India under BJP..,1,0,0
265,Waste BJP ,0,1,1
266,Modi and BJP is the Only One that will Save India !!!!?,1,0,0
267,congress will win 2019?,0,1,0
268,Bjp lose up,0,1,1
269,The discomfort is because of chaos caused by BJP creating rifts in society?,0,1,1
270,"For 2019 election modi is best pm , all thief protests pm modi?",1,0,0
271,All patriots must back bjp?,1,0,0
272,Truth is you already lost the game with BJP?,1,0,0
273,India under Rahul Gandhi will become a failed state. It is a terrible nightmare.?,1,0,1
274,"I voted for modi...For his promises....But, now I come to know that it's his habbit to lie...So somewhat depressed now ?????",0,1,1
275,Once we should try Rahul,0,1,0
276,There is no need of Rahul Gandhi as PM. But we can't afford Modi's experiments once more.?,0,0,1
277,"arvind is the only option. and for the best, a post 1991 product who understands india better.",0,0,1
278,pappu as pm wld be disastrous,1,0,1
279,"AAP  will  form the next govt ,  people are sick of these  old parties.?",0,0,1
280,i will vote for modi best pm till date?,1,0,0
281,arvind is worst guy i never seen a leader like pm modi in my life i will vote pm modi in 2019?,1,0,0
282, modi is the worst pm till date at least in India.?,0,1,1
283,PM  MODI is   well  accepted  all over  and he is  rightfully taking center stage and  he will win with single largest party BJP?,1,0,0
284,The house of justice × India =modi?,1,0,0
285,Sashi Tharoor next PM?,0,1,0
286,Rahul is no match for Modi. He knows nothing about politics. Being born in Gandhi family is no certificate to rule India.?,1,0,0
287,Modi must go. The worst PM ever.?,0,1,1
288,Modi will come back.?,1,0,0
289,"We need a new prime minister, who will deliver it's promise. On the contrary Mr modi only advertise it's promise.?",0,1,1
290,Am i Biased? I think BJP will win more seats than 2019?,1,0,0
291,Undr estmating Rahul may bring BJP in truble?,0,1,0
292,NDTV’s dream of Pappu as PM in 2019 will not come true. They can try in 2024.,1,0,0
293,Modi deserves one more tenure and Raga will take time in learning. He is still ???,1,0,0
294,AAP?,0,0,1
295,If not Modi then who else. I don't have confidence in other clowns of indian politics.?,1,0,0
296,no need bjp 2019?,0,1,1
297,People may vote for AAP & Kejriwal govt at centre for their Honesty,0,0,1
298,Modi will go with 400+ seats dreaming is good ...?,0,1,1
299,Only modi will be the PM no chance for others.?,1,0,0
300,Its not wide open modi wud come again as there is no leader like him...?,1,0,0
301,The Modis BJP won't win more than 100 Lok Sabha seat.?,0,1,1
302,I think our leader Lalu Yadav will become pm...?,0,0,1
303,"modi gone , Rahul gandhi pm 2019?",0,1,0
304,feku this time will go because of pakode and jumla?,0,1,1
305,Any dog is better than Modi,0,1,1
306,MODI is rare PERSONALITY phenomenon with DIGNIFIED VISION and WISDOM. ,1,0,0
307,Modi is more fundamentalist than Vaypayee. ,1,0,0
308,Pappu is never going to win!?,1,0,1
309,I'll vote for Modi again.?,1,0,0
310,We want an action man...like modi?,1,0,0
311,Nda 285 sets coungs+ 95 seats thirdfrount 163 seats?,1,0,0
312,Our like  is modi?,1,0,0
313,Modi all india ok?,1,0,0
314,We don't need arrogant pm. No BJP?,0,1,1
315,Congress zindabad. Rahul Gandhi next PM?,0,1,0
316,Why didn't they announce the winner already i.e. BJP ?????,0,1,1
317,Bye Bye BJP 2019 at last huh?,0,1,1
318,I ll never ever vote for bjp?,0,1,1
319,BJP will win with massive numbers of vote on this election. My prediction.?,1,0,0
320,Again modi thumbs up?,1,0,0
321,Rahul is such an irresponsible leader..saw his latest tweet and think about himm...?,1,0,1
322,"Modi, I was waiting for the day since 200+ People died during Demonetisation. You shall face the Consequences Now....????",0,1,1
323,You assume yourself so BEGAM. Truth is you already lost the game with BJP?,1,0,0
324,FOr better future for our nation NDA should come back again to lead the nation?,1,0,0
325,Jai BJP SENA?,1,0,0
326,Again Again in 2019 N.m?,1,0,0
327,All modi supporter make sure you vote him in upcoming loksabha election ??,1,0,0
328,"BJP in North East. Sorry , no more. They just bark.",0,1,1
329,The shameless BJP representatives in such debates will always be in a denial mode. The fact is they promised the moon and delivered us trash.?,0,1,1
330,Modi is the nemesis of India?,0,1,1
331,"We don't  want MODI ,a LIER?",0,1,1
332,If bjp comes to power again in 2019 let's leave for Sri Lanka???,0,1,1
333,The only development the Bjp hasshown so far is the development of Hindu Taliban and Terror?,0,1,1
334,BJP will definitely go /vanish from all states before 2019 general election.,0,1,1
335,.if jumlabaj had campaigned more ...then BJP would have lost miserably.....?,0,1,1
336,Pappu's win seems inevitable in most of these State Assembly Elections....?,0,1,0
337, Modi's transformation from God to Chor will see shocking results.,0,1,1
338,Send feku in Somalia?,0,1,1
339,BJP is paying price for its Arrogance against anti people policies?,0,1,1
340, BJP mukt bharat will be the solution then.?,0,1,1
341,modi is going to win 2019?,1,0,0
342,Congress will come 2019,0,1,0
343,Bye bye BJP....from South India?,0,1,1
344,Rahul Gandhi is better than modi?,0,1,0
345,Evergreen congrace . Congrace zindabad.?,0,1,0
346,Pappu is not my pm?,1,0,1
347,Only modi modi modi modi modi modi modi 2019?,1,0,0
348,My vote BJP only?,1,0,0
349,I  vote for bjp only.?,1,0,0
350,bjp will win but modiji needs to do so much still more main things?,1,0,0
351,B.J.P will be gain absolutely majority of the party in Indian history next election 2019.???,1,0,0
352,Modi till 2026?,1,0,0
353,Modi Must win..Congress allowed one million Rohingya enter India..congress is worse?,1,0,0
354,Welcome congress?,0,1,0
355,Jai Bheem  JAI BJP and MODI      Congress is Connfused like PAPPU?,1,0,1
356,Vote for PM Modi for Shaktishali bharat????????????,1,0,0
357,There is no other alternative of Narendra Modi in this country. He will remain PM of India for next term. ,1,0,0
358,Rahul is win Lok sabha elections not modi.upa 300 seats nda 110 seats others 133 sewts?,0,1,0
359,67 yrs Congress chutiya no profit only bomb blast modi till 2029?,1,0,0
360,Jai HINDUSTAN Jai modi?,1,0,0
361,Jai hind jai bharth jai ho modiji 400+?,1,0,0
362,nice nice PM Modi ji?,1,0,0
363,Walcome to 2019 modi ji NDA?,1,0,0
364,Some People commented BJP paid Chennal .... SO YOU PEOPLE THINK You are clever and the external agencies rank is fake...?,0,1,1
365,BJP should win because Rahul Gandhi ki coalition weak hogi...ek sal bhi nahi tikegi?,1,0,0
366,BJP is the party that can save india?,1,0,0
367,I like only narendra modi I don't like Congress and Congress is a too clavier.?,1,0,0
368,BJP will should be win and congress should be away from power at least another 10 years.?,1,0,0
369,Modi for next 10 yrs or IND again go back 50 yrs?,1,0,0
370,Come back congress and save my India from the satanic party?,0,1,0
371,BJP WILL WIN... BECAUSE CONGRESS-OTHERS FOW OF INDIA. NOW BJP BEST FOR INDIA.?,1,0,0
372,Bjp channel Fake news congress will come in 2019?,0,1,0
373,BJP will be crushed below ?? seats?,0,1,1
374,Modi Come Back in 2019 NO DOUBT. ,1,0,0
375,May God help congress to win 2019 election ! Amen,0,1,0
376,Now the only political hero Mr.Modi. definitely he in 2019 MPElection.?,1,0,0
377,BJP must win 2019 parliament elections.,1,0,0
378,Jai Rahul Jai congress?,0,1,0
379,BJP has impacted positively in many tamil youngsters recently..?,1,0,0
380,Only BJP can do major work which can take decisions in Nation favour.?,1,0,0
381,"We want  Modi to become PM at least next 2 Terms, We do not want any jokers to rule this country?",1,0,0
382,???? Narendra Modi will be PM upto year 2029..????,1,0,0
383,Modi will be crown again at 2019..?,1,0,0
384,BJP will going to form government with huge majority?,1,0,0
385,I love my Indian p.m Modiji?,1,0,0
386,BJP will definitely win in 2019 election with highest seats compare to last time?,1,0,0
387,2019 seats for the BJP.?,1,0,0
388,Narendra modi our next prime minister?,1,0,0
389,Rahul is not Capable for any post,1,0,1
390,Modij government only should win the people of Bharath should vote for the BJP only Modij is the only person who can take the country forward and a super power?,1,0,0
391,Yes. Modiji should come again.  He can only save India. Jai Hind.?,1,0,0
392,Indira 2nd.... Most welcome... Priyankaji... ???????? Next pm rahul zindabad???????????????????????? Jai congress...... ?????????????? Jai congress...... ?????,0,1,0
393,Congress will win 2019?,0,1,0
394,"If BJP wins 2019 , INDIA will no 1 economic in world, all Indians features will brighter?",1,0,0
395,Only media focus BJP MODI . BUT people Thinking 2019 no MODI no BJP,0,1,1
396,Modi is better option even in 2019 elections..... Rahul still seem immature and Congress has no credibility in public even now....?,1,0,0
397,Upcoming lok shabha election may 2019 BJP can't get 3 (100)digit. Modi will be retired from politics?,0,1,1
398,Modi will be back with full majority?,1,0,0
399,modi all ways dayring dashing politician?,1,0,0
400,Congress should contest in Pakistan . More fans in Pakistan .?,1,0,1
401,Modi should pm in 2019?,1,0,0
402,2019 NDA will not get more than  250+ ???,1,0,0
403,Congress full of scams ???,1,0,1
404,Modiji will win truth is with him if Congress come again india will spoil because of Congress. God please save india we want modiji again our PM. Savithri ,1,0,0
405,My vote deserve only BJP.?,1,0,0
406,Best PM only modi ji zinda bad?,1,0,0
407,"One thing is clear, ONLY BJP CAN LEAD OUR NATION PEACEFULLY, MODIJI GREAT PRIME MINISTER, STRONG, AND BOLD, NON CORRUPT?",1,0,0
408,Modi HATAAVOOO ... Save NATION  ...WASTE FELLOW MODI?,0,1,1
409,There is no doubt that Modi will come to power in 2019. Sexy news anchor who broadcasts this news also can be MP if she contests against Pappu.?,1,0,0
410,NDA score less than 80 seat in 2019 general election and Mr. Rahil will become the PM?,0,1,0
411,100% modi ji one man army..?,1,0,0
412,My vote bjp only?,1,0,0
413,BJP provide no Jobs only provide cow protectors only.?,0,1,1
414,Congress have done nothing to India since independence,1,0,1
415,Modi should go to Gujarat and play dadia or sell tea?,0,1,1
416,NDA Win the 2019?,1,0,0
417,even after so many tough decisions taken by modiji still he is winning?,1,0,0
418,Rahul ji 292 seet all india wen?,0,1,0
419,MODI DID NOT DO  ANYTHING .,0,1,1
420,I appeal to every Indian guys to give vote for BJP as 2014 and you all keep in mind that Modiji is best PM and we must bring him back.,1,0,0
421,Bjp itself will form a clear majority. Modi is the only man which can lead India?,1,0,0
422,Congresss Anty India Party Hai?,1,0,1
423,Congress only win elections.congress win 300+ seats. BJP win 140+ seats others 100 seats?,0,1,0
424,Modi deserve second term ....uske bad socha jayega?,1,0,0
425,"Send rahul , and sonia back to italy and robert in jail .?",1,0,1
426,We need PM MODI back?,1,0,0
427," PM Modi is the best for integrity,stability, and  to make in India important Globally.?",1,0,0
428,"Fake News Congress will win 2019, RaGah next PM.?",0,1,0
429,"Fake poll by ABP, modi is loosing ground, not getting into ur brains.?",0,1,1
430,Rahul gandhi next pm?,0,1,0
431,People will come together to defeat UPA?,1,0,1
432,i am going with modi ....?,1,0,0
433,"Modiji should win, he is sincere PM ever.?",1,0,0
434,Congress will win..all paid news..bjp will be no where?,0,1,0
435,This Is fake Channel ..Spreading lies that modi will win?,0,1,1
436,Congress Pokistan Party Hai?,1,0,1
437,No chance of BJP only they will get 185-205?,0,1,1
438,Congress comes Pakistan will come and make bomb blast everyday?,1,0,1
439,BJP should be given a break.?,0,1,1
440,Modi fail in  2019 elction?,0,1,1
441,Modiji is the future of India.!!!!?,1,0,0
442,No one beat my pm modi?,1,0,0
443,Modi is the next time PM also without any iota of doubt...?,1,0,0
444,"Modi will win, don't worry?",1,0,0
445,No body can touch modi ji?,1,0,0
446,"Only agenda gathbandhan has....is to make Modi loose.....no other Agenda, what a joke...still people want Rahul Gandhi as PM...what a shame?",1,0,0
447,"VOTE BJP IF YOU WANT DEVELOPMENT, CONGRESS IF YOU WANT TO DROWN!",1,0,0
448,I trust BJP?,1,0,0
449,"I appreciate, BJP better?",1,0,0
450,Last ten years the same UPA looted the country.?,1,0,1
451,People who r in favour of progessing india plz vote modiji if unfortunately this thagbandan or this pappu wins then again India turns back towards failure?,1,0,0
452,Modiji for 2019 and 2024 ?.....?,1,0,0
453,"Whoever says Rahul could be PM , has the brain of a mouse. Rahul is completely useless.?",1,0,1
454,It will be a disaster if Modi loses?,1,0,0
455,NDA will be limited to less than 200,0,1,1
456,There is only leader that is PM Modi?,1,0,0
457,Congresss Pakistani Agent hai?,1,0,1
458,BJP paid Chenal?,0,1,1
459,only modi best pm for India rahul gandhi terrorist hai?,1,0,0
460,My country should surge ahead and should be no.1 in the world. Only Modiji and BJP can do this.?,1,0,0
461,Nobody save this country except modi...We want modi as p.m till his life long.?,1,0,0
462,Great modi... Great india...... !?,1,0,0
463,Bjp loss?,0,1,1
464,Only Congress,0,1,0
465,Modi god of the India?,1,0,0
466,If Congress come Muslims will rule so vote for bjp?,1,0,0
467,Don't make propaganda...NDA is not going to return to power...?,0,1,1
468,Dont support NDA government .?,0,1,1
469,Should return and hope  the NDA returns. What Mr Modi government has done in four and half years no other prime minister has done in India till date.,1,0,0
470,Congress Best party?,0,1,0
471,Congress zindabad Congress zindabad Congress zindabad Congress zindabad Congress zindabad Congress zindabad?,0,1,0
472,To Save Our Country We Have To Vote BJP And Make Modiji Prime Minister Again And Again.?,1,0,0
473,Rahul Gandhi is garbage and in shock and heavily drinking Imran Khan mutra?,1,0,1
474,Modi all the way!!?,1,0,0
475,"IF YOU WANT TO TURN INDIA TO SYIA,THEN VOTE FOR CONGRESS. IF YOU WANT TO SAVE INDIA,SHOW YOUR PATRIOTISM AND VOTE FOR BJP.?",1,0,0
476,BJP playing with indian emotions,0,1,1
477,We want not PEACE we want MODI. ..,1,0,0
478,Amit Shah please put all your efforts to win 2019 .....?,1,0,0
479,Jai Hindu Jai narendra modi Jai Amit shah. next Prime Minister narendra modi?,1,0,0
